color,condition,number_genes,,,,,,,,,,,,,,,,,,,,,,,,,,,
black,5- Unsigned,485,,,,,,,,,,,,,,,,,,,,,,,,,,,
black,6- Unsigned,302,,,,,,,,,,,,,,,,,,,,,,,,,,,
black,6- Signed,233,,,,,,,,,,,,,,,,,,,,,,,,,,,
black,7- Signed,609,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue,5- Unsigned,6315,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue,6- Unsigned,7452,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue,6- Signed,7919,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue,7- Signed,5939,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown,5- Unsigned,4680,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown,6- Unsigned,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown,6- Signed,3614,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown,7- Signed,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyan,5- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyan,6- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyan,6- Signed,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyan,7- Signed,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,5- Unsigned,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,6- Unsigned,746,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,6- Signed,367,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,7- Signed,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenyellow,5- Unsigned,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenyellow,6- Unsigned,154,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenyellow,6- Signed,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenyellow,7- Signed,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray,5- Unsigned,1492,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray,6- Unsigned,1501,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray,6- Signed,1588,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray,7- Signed,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,
light cyan,5- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
light cyan,6- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
light cyan,6- Signed,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
light cyan,7- Signed,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
magenta,5- Unsigned,158,,,,,,,,,,,,,,,,,,,,,,,,,,,
magenta,6- Unsigned,266,,,,,,,,,,,,,,,,,,,,,,,,,,,
magenta,6- Signed,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
magenta,7- Signed,231,,,,,,,,,,,,,,,,,,,,,,,,,,,
midnightblue,5- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
midnightblue,6- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
midnightblue,6- Signed,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
midnightblue,7- Signed,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink,5- Unsigned,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink,6- Unsigned,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink,6- Signed,164,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink,7- Signed,312,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple,5- Unsigned,151,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple,6- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple,6- Signed,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple,7- Signed,219,,,,,,,,,,,,,,,,,,,,,,,,,,,
red,5- Unsigned,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,
red,6- Unsigned,377,,,,,,,,,,,,,,,,,,,,,,,,,,,
red,6- Signed,331,,,,,,,,,,,,,,,,,,,,,,,,,,,
red,7- Signed,871,,,,,,,,,,,,,,,,,,,,,,,,,,,
turquoise,5- Unsigned,7347,,,,,,,,,,,,,,,,,,,,,,,,,,,
turquoise,6- Unsigned,7917,,,,,,,,,,,,,,,,,,,,,,,,,,,
turquoise,6- Signed,9806,,,,,,,,,,,,,,,,,,,,,,,,,,,
turquoise,7- Signed,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
salmon,5- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
salmon,6- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
salmon,6- Signed,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
salmon,7- Signed,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
tan,5- Unsigned,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
tan,6- Unsigned,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
tan,6- Signed,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
tan,7- Signed,169,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow,5- Unsigned,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow,6- Unsigned,2389,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow,6- Signed,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow,7- Signed,2525,,,,,,,,,,,,,,,,,,,,,,,,,,,